Gene Symbol,Gene ID,Median (Tumor),Median (Normal),Log2(Fold Change),adjp
AC004237.1,ENSG00000230612.3,0.06,0.305,-0.3,5.40E-41
AC004381.6,ENSG00000005189.19,2.99,2.2,0.318,1.24E-04
AC004381.7,ENSG00000260510.1,0,0.61,-0.687,1.54E-78
AC004383.3,ENSG00000226107.1,0.21,0.85,-0.613,2.34E-18
AC004448.2,ENSG00000227078.1,0,0.3,-0.378,2.74E-50
AC004448.5,ENSG00000235979.8,0.03,0.295,-0.33,4.06E-39
AC004449.6,ENSG00000261204.1,0.07,0.465,-0.453,1.89E-27
AC004453.8,ENSG00000146677.7,11.485,10.33,0.14,5.99E-02
AC004471.10,ENSG00000272682.1,0.06,0.14,-0.105,7.69E-11
AC004471.9,ENSG00000223461.1,0.12,0.27,-0.181,2.12E-15
AC004490.1,ENSG00000267122.1,0.01,0.05,-0.056,6.49E-05
AC004538.3,ENSG00000230333.6,0.3,1.954,-1.184,1.25E-36
AC004540.4,ENSG00000225792.1,1.86,0.285,1.154,2.13E-12
AC004540.5,ENSG00000214870.8,3.705,0.835,1.359,5.17E-22
AC004549.6,ENSG00000229893.2,0.04,0.05,-0.014,8.30E-03
AC004623.3,ENSG00000279488.1,0.285,4.515,-2.102,1.05E-130
AC004691.5,ENSG00000229263.1,0,0.13,-0.176,7.44E-23
AC004754.3,ENSG00000269881.1,0.45,0.56,-0.106,5.59E-01
AC004775.5,ENSG00000272203.1,0.05,0.06,-0.014,1.09E-02
AC004791.2,ENSG00000267453.6,0.09,0,0.124,5.80E-05
AC004813.1,ENSG00000279777.1,0.06,0,0.084,8.42E-01
AC004837.5,ENSG00000228554.1,0.065,0.26,-0.243,7.78E-02
AC004870.4,ENSG00000223829.5,1.5,0,1.322,1.61E-25
AC004878.2,ENSG00000277675.1,0.06,0.09,-0.04,3.81E-02
AC004893.10,ENSG00000238109.1,0.11,0.16,-0.064,2.10E-02
AC004893.11,ENSG00000242687.2,1.675,6.2,-1.428,3.75E-52
AC004945.1,ENSG00000222024.2,0,0.04,-0.057,3.31E-26
AC004947.2,ENSG00000233760.1,0.02,0.12,-0.135,1.91E-03
AC004951.5,ENSG00000239556.2,0.04,0.11,-0.094,3.30E-03
AC004951.6,ENSG00000228434.1,1.36,0.955,0.272,1.17E-05
AC004967.7,ENSG00000243554.1,1.24,0.32,0.763,6.49E-22
AC004980.10,ENSG00000214243.3,0.36,0.61,-0.243,1.76E-01
AC004980.7,ENSG00000205485.13,3.425,5.245,-0.497,6.76E-07
AC004980.9,ENSG00000230305.2,0.27,0.545,-0.283,8.88E-02
AC004985.12,ENSG00000241057.1,0.08,0.22,-0.176,6.57E-18
AC004987.9,ENSG00000233225.3,2.76,1.625,0.518,8.67E-12
AC004988.1,ENSG00000203446.2,0.06,0,0.084,1.39E-07
AC005009.2,ENSG00000233073.1,0.005,0.06,-0.077,1.13E-01
AC005013.5,ENSG00000228421.2,0.05,0.11,-0.08,6.76E-07
AC005014.5,ENSG00000224280.1,0.01,0.02,-0.014,6.23E-01
AC005037.3,ENSG00000183308.6,0.78,0.18,0.593,1.52E-23
AC005042.2,ENSG00000227331.1,0.04,0.06,-0.027,3.90E-02
AC005042.4,ENSG00000204380.4,0.36,1.295,-0.755,8.85E-26
AC005062.2,ENSG00000243004.5,8.445,12.535,-0.519,1.42E-05
AC005076.5,ENSG00000224046.1,2.11,1.18,0.513,2.11E-11
AC005077.14,ENSG00000230882.1,0.15,0.38,-0.263,3.83E-03
AC005082.12,ENSG00000226816.2,1.33,0.26,0.887,4.54E-13
AC005083.1,ENSG00000233834.6,4.465,0.06,2.366,1.19E-47
AC005104.3,ENSG00000223374.1,0.425,6.01,-2.298,1.20E-131
AC005154.6,ENSG00000196295.11,10.455,52.25,-2.217,7.22E-81
AC005154.7,ENSG00000244480.1,0.2,3.315,-1.846,4.12E-163
AC005154.8,ENSG00000226874.1,0.08,0.555,-0.526,1.20E-31
AC005162.5,ENSG00000233517.1,0.03,0,0.043,7.27E-02
AC005197.2,ENSG00000269694.1,0.04,0.07,-0.041,3.97E-02
AC005220.3,ENSG00000236352.1,0.03,0,0.043,6.31E-02
AC005224.2,ENSG00000231595.1,0.18,0.475,-0.322,8.28E-39
