Gene Symbol,Gene ID,Median (Tumor),Median (Normal),Log2(Fold Change),adjp
RP11-146E23.2,ENSG00000253283.1,0.03,0,0.043,2.07E-03
TRBV7-7,ENSG00000253291.1,0.06,0,0.084,5.88E-07
HOXA10,ENSG00000253293.4,0.375,0.545,-0.168,1.07E-01
LINC01606,ENSG00000253301.5,0.14,0,0.189,3.84E-04
STAU2-AS1,ENSG00000253302.1,0.2,0,0.263,5.16E-13
TMEM200B,ENSG00000253304.1,1.33,30.599,-3.761,8.41E-117
PCDHGB6,ENSG00000253305.2,0.865,5.34,-1.765,4.54E-41
RP11-10J21.4,ENSG00000253307.1,0.07,0,0.098,6.46E-01
SERPINE3,ENSG00000253309.6,0.02,0.06,-0.055,1.27E-05
IGHVIII-76-1,ENSG00000253310.1,0,0.42,-0.506,1.44E-42
RP11-142A23.1,ENSG00000253317.1,0,0.25,-0.322,9.60E-42
RP11-261C10.7,ENSG00000253326.2,0.19,0.175,0.018,2.02E-01
RAD21-AS1,ENSG00000253327.2,0.19,0.065,0.16,1.08E-12
RP11-697N18.3,ENSG00000253330.1,0.28,1.655,-1.052,1.11E-67
RP13-923O23.6,ENSG00000253334.1,0,0.135,-0.183,9.66E-15
RP11-468O2.1,ENSG00000253336.1,0.02,0.13,-0.148,1.70E-50
RP11-730G20.2,ENSG00000253341.1,2.28,3.08,-0.315,4.49E-04
TUG1,ENSG00000253352.8,30.765,72.559,-1.211,1.36E-27
RP11-675F6.3,ENSG00000253361.1,0.37,0,0.454,2.10E-12
RP11-731F5.2,ENSG00000253364.1,0.045,0,0.063,1.76E-03
TRNP1,ENSG00000253368.3,16.895,2.419,2.388,2.03E-36
RP11-1081M5.1,ENSG00000253369.1,0.04,5.245,-2.586,3.33E-92
RP11-44N11.1,ENSG00000253372.5,0.06,0,0.084,4.01E-03
RP11-1102P16.1,ENSG00000253379.5,0.03,0,0.043,2.23E-03
KB-1254G8.1,ENSG00000253385.1,0.03,0,0.043,4.17E-03
KB-1460A1.1,ENSG00000253395.1,0.11,0,0.151,1.93E-11
RP11-337A23.6,ENSG00000253400.1,0.08,0,0.111,2.73E-06
RP11-231D20.2,ENSG00000253408.5,0.08,0,0.111,8.95E-04
RP11-150O12.6,ENSG00000253414.2,0.55,0.165,0.412,4.74E-09
RP11-44N12.4,ENSG00000253415.1,0,0.07,-0.098,1.94E-42
RP11-109J4.1,ENSG00000253417.5,1.22,0,1.151,2.52E-23
RP11-642D21.2,ENSG00000253420.1,0,0.135,-0.183,3.17E-20
RP11-10A14.4,ENSG00000253426.5,0.24,0.09,0.186,5.76E-06
SRPK2P,ENSG00000253431.1,0.02,0,0.029,9.12E-03
RP11-1101K5.1,ENSG00000253434.5,0,0.075,-0.104,4.54E-35
PCAT1,ENSG00000253438.2,0.16,0.01,0.2,1.21E-13
RP11-770E5.3,ENSG00000253455.1,0,0.385,-0.47,2.58E-36
HMGB1P19,ENSG00000253463.1,0.03,0,0.043,4.05E-02
RP11-110G21.2,ENSG00000253475.1,0.1,0,0.138,2.05E-04
RP11-395I14.2,ENSG00000253476.1,0.05,2.15,-1.585,3.14E-161
LINC01603,ENSG00000253479.5,0.02,0,0.029,3.39E-03
PCDHGA5,ENSG00000253485.2,0.25,2.14,-1.329,9.81E-86
NACA2,ENSG00000253506.2,0.14,0.315,-0.206,1.39E-10
HMGB1P41,ENSG00000253516.1,0.1,0.575,-0.518,3.38E-34
RP11-798K23.5,ENSG00000253520.1,0.455,0.84,-0.339,3.70E-01
RP11-347C18.4,ENSG00000253528.2,0.2,0.14,0.074,9.67E-01
PCDHGA7,ENSG00000253537.2,0.635,1.6,-0.669,6.83E-04
FAM86HP,ENSG00000253540.5,3.985,6.355,-0.561,1.62E-07
SEPT10P1,ENSG00000253541.1,0.02,0.06,-0.055,9.65E-20
HOXA-AS2,ENSG00000253552.7,1.4,2.465,-0.53,4.31E-01
RP11-586K2.1,ENSG00000253553.5,0,0.15,-0.202,4.61E-17
RP11-1080G15.1,ENSG00000253557.5,0.04,0.075,-0.048,2.23E-01
OSGEPL1-AS1,ENSG00000253559.1,0.62,1.05,-0.34,4.94E-03
RP11-181B11.2,ENSG00000253567.1,0.055,0,0.077,4.79E-06
RNF5P1,ENSG00000253570.1,3.04,1.705,0.579,1.10E-02
RP11-649G15.2,ENSG00000253582.1,0.17,0.11,0.076,1.20E-05
SLC10A5,ENSG00000253598.1,0.14,0.28,-0.167,4.86E-08
RP11-557C18.3,ENSG00000253607.1,0.04,0,0.057,9.25E-01
RP11-770E5.1,ENSG00000253608.1,0.01,0.06,-0.07,1.49E-36
RP11-875O11.3,ENSG00000253616.5,0.27,0,0.345,1.63E-13
GRPEL2-AS1,ENSG00000253618.1,0.06,0,0.084,5.87E-03
KB-1980E6.3,ENSG00000253633.1,0.06,0,0.084,1.07E-01
RP11-531A24.5,ENSG00000253636.1,0.21,0.605,-0.408,3.98E-16
LINCR-0001,ENSG00000253641.5,0.11,0.7,-0.615,1.76E-19
PRSS51,ENSG00000253649.2,0.07,0.115,-0.059,6.80E-03
ZFHX4-AS1,ENSG00000253661.1,0.05,0,0.07,1.01E-03
RP11-30L15.4,ENSG00000253667.2,0.08,1.18,-1.013,9.96E-111
KB-1732A1.1,ENSG00000253669.3,0.43,0.14,0.327,3.20E-08
RP11-806O11.1,ENSG00000253671.1,0.35,3.89,-1.857,5.24E-65
TAGLN2P1,ENSG00000253676.1,0.635,0.365,0.26,3.85E-09
LINC01484,ENSG00000253686.1,0.23,0,0.299,1.04E-09
RP11-567J20.2,ENSG00000253688.1,0.025,0.45,-0.5,1.81E-90
RP11-380I10.4,ENSG00000253690.1,0.07,0,0.098,3.26E-07
RP11-177H2.2,ENSG00000253695.1,0.05,0,0.07,9.68E-01
KBTBD11-OT1,ENSG00000253696.2,0,0.07,-0.098,1.26E-11
RP11-267M23.4,ENSG00000253704.1,0.37,0.45,-0.082,3.43E-01
RP11-758M4.4,ENSG00000253706.5,0.29,0.18,0.129,7.74E-04
RP11-51J9.4,ENSG00000253708.1,0.04,0.225,-0.236,2.87E-30
RP11-697M17.2,ENSG00000253712.1,0.05,0,0.07,3.91E-02
LINC01604,ENSG00000253716.5,13.13,15.169,-0.194,2.77E-01
RP11-10N23.4,ENSG00000253722.1,0.075,1.1,-0.966,8.93E-35
PRKDC,ENSG00000253729.7,43.755,39.628,0.14,5.75E-01
RP11-893F2.13,ENSG00000253730.1,0.05,0.47,-0.485,2.42E-38
PCDHGA6,ENSG00000253731.2,0.5,3.56,-1.604,1.72E-64
OTUD6B-AS1,ENSG00000253738.1,10.285,12.535,-0.262,5.48E-04
RP11-527N22.2,ENSG00000253746.1,0.03,0,0.043,5.94E-02
RP11-35G22.1,ENSG00000253754.1,0.05,0,0.07,7.88E-01
IGHGP,ENSG00000253755.1,0.385,0.06,0.386,6.13E-05
RP11-439C15.4,ENSG00000253764.1,0.05,0.765,-0.749,7.29E-56
PCDHGA8,ENSG00000253767.2,0.12,0.38,-0.301,1.90E-03
TPTE2P1,ENSG00000253771.5,0.635,1.085,-0.351,4.42E-05
UTP14C,ENSG00000253797.2,5.495,5.765,-0.059,9.92E-01
LINC01170,ENSG00000253807.5,0.04,0,0.057,7.35E-06
RP11-1415C14.3,ENSG00000253816.3,8.075,18.755,-1.122,7.51E-17
KB-173C10.2,ENSG00000253824.1,0.04,0,0.057,6.65E-05
RP11-723D22.3,ENSG00000253829.1,0.09,0.45,-0.412,1.21E-19
ETV3L,ENSG00000253831.1,0.01,0,0.014,4.94E-05
RP11-367E12.4,ENSG00000253833.1,0.06,0.245,-0.232,2.65E-22
RP11-177H13.2,ENSG00000253837.1,0.15,0.91,-0.732,2.12E-80
RP11-546K22.1,ENSG00000253844.1,0.32,0.08,0.289,1.83E-14
PCDHGA10,ENSG00000253846.2,1.84,1.33,0.286,5.31E-03
RP11-10N23.5,ENSG00000253848.1,0.11,0,0.151,7.67E-12
GS1-57L11.1,ENSG00000253853.1,0,0.07,-0.098,6.91E-20
RP11-10N23.2,ENSG00000253854.1,0.525,1.695,-0.821,2.17E-36
SLC2A3P1,ENSG00000253861.1,0,0.52,-0.604,8.88E-25
RP11-394O4.3,ENSG00000253865.1,0.09,0.43,-0.392,6.84E-28
PIGFP1,ENSG00000253869.1,0.03,0.11,-0.108,5.59E-23
PCDHGA11,ENSG00000253873.5,0.27,1.135,-0.749,2.00E-08
RP11-16P20.3,ENSG00000253875.1,0.07,0.175,-0.135,5.33E-02
RP11-347C18.3,ENSG00000253878.5,0.51,0.68,-0.154,7.46E-02
RP11-61L23.2,ENSG00000253882.6,1.695,4.505,-1.03,3.61E-19
FAM85B,ENSG00000253893.2,0.11,0.29,-0.217,8.74E-09
RP11-252I14.2,ENSG00000253908.1,0.04,0.16,-0.157,1.05E-14
PCDHGB2,ENSG00000253910.2,0.58,2.185,-1.011,2.45E-13
PRKRIRP7,ENSG00000253919.1,0.03,0.02,0.014,3.48E-02
KB-1980E6.2,ENSG00000253923.2,0.07,0,0.098,4.06E-08
RP11-1149O23.2,ENSG00000253930.1,0.65,0.145,0.527,1.77E-22
RP11-909N17.2,ENSG00000253931.1,0.04,0,0.057,1.85E-03
KRT18P37,ENSG00000253943.1,0.01,0.04,-0.042,3.01E-11
RP11-156K13.1,ENSG00000253944.1,0.16,0.83,-0.658,1.78E-37
RP11-410L14.2,ENSG00000253948.1,4.12,5.555,-0.356,4.60E-01
PCDHGB4,ENSG00000253953.2,1.06,2.225,-0.647,2.19E-02
HMGN1P38,ENSG00000253954.3,5.245,2.47,0.848,2.32E-18
RP11-333A23.4,ENSG00000253967.1,0,0.02,-0.029,1.41E-05
RP11-4K16.2,ENSG00000253972.5,0.18,0,0.239,1.20E-15
RP11-467K18.2,ENSG00000253973.2,0.09,0,0.124,1.21E-05
RP1-16A9.1,ENSG00000253983.2,0.02,0.05,-0.042,1.50E-05
RP11-489O18.1,ENSG00000253988.1,0.05,0,0.07,3.15E-02
ZNF260,ENSG00000254004.6,5.805,4.425,0.327,8.05E-04
RP11-103H7.5,ENSG00000254010.1,0.155,0,0.208,2.36E-09
IGHEP2,ENSG00000254017.1,0.03,0.11,-0.108,4.05E-15
RP11-10J21.3,ENSG00000254019.1,0.03,0,0.043,3.47E-01
KB-1562D12.1,ENSG00000254024.1,0.445,0,0.531,4.74E-17
RP11-363E6.3,ENSG00000254027.1,0.43,0.1,0.379,1.01E-18
RP11-662B19.2,ENSG00000254034.1,0.08,0.175,-0.122,4.93E-11
RP11-281O15.4,ENSG00000254035.1,0.62,0.645,-0.022,1.00E+00
RP11-681L8.1,ENSG00000254044.5,0.06,0,0.084,1.31E-05
RP3-388N13.3,ENSG00000254057.1,0.06,0,0.084,6.86E-01
RP11-697N18.2,ENSG00000254065.1,0.05,0,0.07,5.56E-02
LYN,ENSG00000254087.7,12.67,2.43,1.995,1.40E-41
SLC2A3P4,ENSG00000254088.1,0.04,0.08,-0.054,1.39E-02
PINX1,ENSG00000254093.8,7.22,9.6,-0.367,8.50E-04
RP11-675F6.4,ENSG00000254100.1,0.09,0,0.124,3.06E-08
RP11-21C4.1,ENSG00000254102.1,0.01,0.02,-0.014,2.43E-03
RBPMS-AS1,ENSG00000254109.5,0.6,4.99,-1.904,7.60E-87
PCDHGB7,ENSG00000254122.2,1.29,5.9,-1.591,1.21E-25
RP11-1007J8.1,ENSG00000254131.1,0.18,0,0.239,4.19E-04
RP11-642D21.1,ENSG00000254141.1,0.05,0.165,-0.15,1.25E-08
RP11-53M11.3,ENSG00000254142.2,2.595,0,1.846,3.95E-39
RP4-798P15.3,ENSG00000254154.8,0.62,2.435,-1.084,3.71E-50
RP11-48B3.3,ENSG00000254162.1,0.09,0.06,0.04,4.98E-05
RP11-503E24.2,ENSG00000254165.1,0.31,1.475,-0.918,1.35E-52
RP11-419L20.2,ENSG00000254185.1,0.02,0,0.029,1.27E-01
RP11-598P20.3,ENSG00000254198.1,4.225,1.25,1.215,6.77E-15
NPIPB11,ENSG00000254206.5,1.16,3.395,-1.025,5.30E-24
RP11-219B4.3,ENSG00000254208.1,0.16,0,0.214,1.45E-07
LINC01485,ENSG00000254211.5,0.09,0,0.124,1.65E-02
PCDHGB1,ENSG00000254221.2,0.585,0.85,-0.223,5.40E-01
FAM90A12P,ENSG00000254229.2,0,0.03,-0.043,5.13E-05
PAICSP4,ENSG00000254244.1,0.06,0.025,0.048,1.04E-06
PCDHGA3,ENSG00000254245.2,0.19,2.61,-1.601,1.10E-71
RP11-320N21.2,ENSG00000254248.1,0.02,0,0.029,3.60E-07
RP11-662G23.1,ENSG00000254251.1,0,0.095,-0.131,1.44E-39
RP11-17A4.2,ENSG00000254254.5,0,0.07,-0.098,2.58E-42
RP11-398H6.1,ENSG00000254258.1,0.21,0.05,0.205,2.62E-12
PKIA-AS1,ENSG00000254266.5,0.01,0.11,-0.136,1.28E-14
KB-1458E12.1,ENSG00000254267.1,0,0.115,-0.157,4.77E-18
RP11-131N11.4,ENSG00000254271.1,0.27,0.36,-0.099,2.44E-03
RP11-382J24.2,ENSG00000254272.1,0,0.38,-0.465,6.86E-55
TDGF1P5,ENSG00000254274.1,0.04,0,0.057,7.94E-01
KB-1507C5.4,ENSG00000254281.1,0.09,0.215,-0.157,2.73E-05
KRT8P3,ENSG00000254285.3,3.795,0.065,2.171,6.57E-56
RP11-89K10.1,ENSG00000254286.5,0.52,0,0.604,1.99E-21
RP11-44K6.4,ENSG00000254287.1,0.09,0,0.124,1.49E-07
RP11-6I2.3,ENSG00000254288.1,0.07,0.3,-0.281,2.67E-36
RP11-150O12.3,ENSG00000254290.1,0.02,0.03,-0.014,8.00E-01
IMPDH1P6,ENSG00000254294.1,0.08,0.06,0.027,2.70E-04
RP11-267M23.3,ENSG00000254315.1,0.06,0,0.084,1.16E-01
RP11-473O4.5,ENSG00000254317.1,0.12,0.425,-0.347,1.37E-10
RP11-134O21.1,ENSG00000254319.5,0.01,0.405,-0.476,1.30E-30
RP11-318K15.2,ENSG00000254325.2,0.03,0,0.043,7.62E-10
GS1-44D20.1,ENSG00000254332.1,1.29,0.56,0.554,3.04E-09
RP11-865I6.2,ENSG00000254337.1,0.15,0,0.202,3.01E-05
MAFA-AS1,ENSG00000254338.1,0.12,0,0.164,2.38E-05
RP11-10A14.3,ENSG00000254340.1,0.06,0.18,-0.155,6.37E-08
RP11-760H22.2,ENSG00000254343.2,3.725,5.46,-0.451,2.92E-02
MIR2052HG,ENSG00000254349.5,0.05,0,0.07,2.56E-04
RP11-578O24.2,ENSG00000254352.1,0.08,1.95,-1.45,6.81E-120
RP11-14I17.3,ENSG00000254362.1,0,0.47,-0.556,9.01E-78
HOXA-AS3,ENSG00000254369.6,0.06,0.04,0.027,3.54E-02
RP11-181B11.1,ENSG00000254370.1,0.1,0,0.138,2.13E-07
RP11-34P1.2,ENSG00000254373.1,0.38,0.345,0.037,1.69E-01
RHPN1-AS1,ENSG00000254389.3,2.665,0.05,1.803,7.83E-66
RP11-56F10.3,ENSG00000254396.1,0,0.13,-0.176,2.26E-30
RP11-578F21.2,ENSG00000254398.1,0.06,0.485,-0.486,5.10E-53
RP11-732A19.8,ENSG00000254400.1,0,0.39,-0.475,4.70E-40
RP11-179A10.1,ENSG00000254401.1,0.03,0.02,0.014,2.56E-02
LRRC24,ENSG00000254402.6,2.255,5.255,-0.942,2.04E-12
RP11-182J1.1,ENSG00000254414.1,0.12,1.03,-0.858,1.71E-95
SIGLEC14,ENSG00000254415.3,1.38,0.26,0.918,1.85E-11
RP11-347E10.1,ENSG00000254416.5,0.03,0,0.043,3.85E-01
RP11-21L19.1,ENSG00000254418.1,0.705,0,0.77,1.31E-08
RP11-261P9.4,ENSG00000254419.1,0.12,1.065,-0.883,9.40E-72
RP11-452H21.1,ENSG00000254420.1,0.17,0.385,-0.243,2.30E-04
RP11-351I21.7,ENSG00000254423.1,0.01,0.04,-0.042,5.75E-03
RP11-430H10.1,ENSG00000254427.1,0.755,3.345,-1.308,5.24E-28
RP11-110I1.11,ENSG00000254428.1,0.365,1.775,-1.024,3.99E-49
RP11-550A5.2,ENSG00000254431.1,0.14,0,0.189,3.05E-11
RP11-677I18.3,ENSG00000254433.1,0.07,1.405,-1.168,3.29E-131
RP11-231N3.1,ENSG00000254438.1,0.41,0,0.496,2.95E-13
RP11-290F24.3,ENSG00000254444.1,0.03,0,0.043,6.34E-02
HSPB2-C11orf52,ENSG00000254445.1,4.465,8.59,-0.811,5.69E-09
OR7E11P,ENSG00000254447.1,0.04,0,0.057,1.98E-04
SF3A3P2,ENSG00000254449.1,0.02,0.075,-0.076,1.04E-25
RP11-867G23.4,ENSG00000254452.1,0.06,4.61,-2.404,1.26E-24
NAV2-AS2,ENSG00000254453.1,0.03,0,0.043,8.07E-01
RCC2P6,ENSG00000254454.2,0.24,0,0.31,1.15E-15
RP11-91P24.7,ENSG00000254459.1,0.22,0.51,-0.308,7.21E-07
RP11-755F10.3,ENSG00000254461.1,0.35,8.76,-2.854,2.05E-151
TMX2-CTNND1,ENSG00000254462.1,0,0.165,-0.22,8.36E-18
RP11-484D2.3,ENSG00000254463.1,0.1,0.43,-0.378,4.68E-21
RP11-849H4.2,ENSG00000254469.7,2.18,3.665,-0.553,5.96E-08
RP11-885L14.1,ENSG00000254471.1,0,0.01,-0.014,4.75E-02
RP11-522I20.3,ENSG00000254473.1,2.025,1.44,0.31,7.34E-07
RP11-23F23.2,ENSG00000254480.1,0.385,1.145,-0.631,1.37E-18
PTP4A2P2,ENSG00000254481.1,0.05,0.14,-0.119,1.73E-07
RP11-380O24.1,ENSG00000254485.5,1.56,0.485,0.786,3.14E-15
RP5-1024C24.1,ENSG00000254489.1,1.735,0,1.452,1.78E-21
RP11-748H22.1,ENSG00000254506.1,0.02,0.55,-0.604,6.23E-49
RP11-481A20.10,ENSG00000254507.2,0.03,0,0.043,1.51E-01
RP11-677M14.6,ENSG00000254509.1,0.18,2.305,-1.486,4.31E-90
RP11-867G23.10,ENSG00000254510.1,0.16,0.88,-0.697,5.91E-20
PHBP2,ENSG00000254512.1,0.03,0.28,-0.313,3.53E-40
SIGLEC12,ENSG00000254521.6,0.09,0.03,0.082,1.65E-02
RP11-728F11.4,ENSG00000254528.7,0.59,7.249,-2.375,7.00E-79
FLJ20021,ENSG00000254531.1,8.09,16.43,-0.939,8.57E-19
RP11-624D11.2,ENSG00000254532.1,0.06,0,0.084,9.53E-06
PABPC4L,ENSG00000254535.3,0.985,0.645,0.271,8.35E-05
RP11-108K14.8,ENSG00000254536.1,0.09,0.115,-0.033,6.36E-01
RP11-463D19.1,ENSG00000254538.1,0.07,0,0.098,2.36E-05
RP4-791M13.3,ENSG00000254539.1,0.785,1.46,-0.463,6.71E-05
RP11-429J17.5,ENSG00000254548.1,0.47,0,0.556,5.92E-16
OMP,ENSG00000254550.1,0.15,0.13,0.025,4.27E-03
RP11-727A23.7,ENSG00000254551.1,0.02,0.41,-0.467,1.04E-82
RP1-27O5.3,ENSG00000254553.1,0.215,0,0.281,1.76E-12
RP11-351I24.1,ENSG00000254554.1,0.03,0.07,-0.055,2.56E-02
RP11-196E1.3,ENSG00000254561.3,0,0.02,-0.029,2.36E-07
MTND2P26,ENSG00000254565.1,0,0.04,-0.057,2.18E-21
PSMA2P1,ENSG00000254582.1,0.04,0,0.057,5.60E-01
MAGEL2,ENSG00000254585.2,0.2,1.9,-1.273,9.41E-35
RP11-334E6.2,ENSG00000254590.1,0.01,0,0.014,6.56E-02
OR7E126P,ENSG00000254593.1,0.55,0.26,0.299,5.84E-10
RP11-626H12.2,ENSG00000254605.1,0.15,0,0.202,9.50E-11
RP11-115C10.1,ENSG00000254607.2,0.04,0.23,-0.242,7.00E-16
RP11-56A10.1,ENSG00000254608.1,0.02,0,0.029,1.61E-01
RP11-719K4.3,ENSG00000254609.1,0.01,0,0.014,2.96E-02
RP5-903G2.2,ENSG00000254610.2,0.07,0,0.098,2.40E-04
RP11-676M6.1,ENSG00000254612.2,1.01,1.04,-0.021,1.00E+00
RP11-395G23.3,ENSG00000254615.2,7.75,3.3,1.025,3.67E-11
TMED10P1,ENSG00000254618.1,0.24,0.2,0.047,3.74E-01
SMG1P6,ENSG00000254634.4,0.09,0.34,-0.298,2.77E-24
WAC-AS1,ENSG00000254635.5,10.525,10.425,0.013,1.00E+00
INS,ENSG00000254647.6,0,0.245,-0.316,3.69E-54
RP11-713P17.4,ENSG00000254648.1,0.07,0.545,-0.53,6.69E-59
RTL1,ENSG00000254656.1,0.005,0.55,-0.625,3.91E-70
RP11-872D17.4,ENSG00000254662.1,0.29,0.42,-0.139,2.23E-03
RP11-152H18.3,ENSG00000254665.1,5.33,15.079,-1.345,6.83E-10
RP5-916O11.3,ENSG00000254672.1,0.01,0,0.014,3.40E-02
RP11-7I15.4,ENSG00000254675.1,0.21,0,0.275,2.11E-08
RP11-727A23.4,ENSG00000254676.1,0.28,1.2,-0.781,6.39E-64
RP11-265D17.2,ENSG00000254680.1,4.435,1.809,0.952,1.19E-08
PKD1P5,ENSG00000254681.6,2.435,2.704,-0.109,7.82E-09
RP11-660L16.2,ENSG00000254682.1,9.545,7.3,0.345,5.62E-04
FPGT,ENSG00000254685.6,5.245,6.45,-0.255,8.35E-03
GS1-393G12.12,ENSG00000254690.1,0.1,0.15,-0.064,2.04E-01
RP11-91P24.5,ENSG00000254691.1,0.08,0.125,-0.059,8.70E-02
RP11-468E2.1,ENSG00000254692.1,7.735,2.645,1.261,5.76E-19
RP11-50B3.4,ENSG00000254694.1,0.08,0.63,-0.594,3.51E-35
RP11-1415C14.4,ENSG00000254701.3,0.825,4.495,-1.59,1.45E-37
SENCR,ENSG00000254703.2,0.44,0.32,0.126,8.10E-02
RP11-565P22.6,ENSG00000254706.2,2.375,0.18,1.516,5.98E-31
IGLL5,ENSG00000254709.6,4.715,0.845,1.631,6.67E-07
OR7E154P,ENSG00000254715.3,0,1.6,-1.378,1.50E-50
RP11-351I24.3,ENSG00000254719.1,0.885,0,0.915,1.89E-12
RP11-805J14.5,ENSG00000254721.1,2.105,1.655,0.226,7.16E-03
MEX3A,ENSG00000254726.2,12.845,3.25,1.704,1.17E-17
RP13-46H24.1,ENSG00000254739.1,0.11,0.25,-0.171,1.13E-01
RP11-661A12.7,ENSG00000254741.1,0.08,0.36,-0.333,1.34E-08
OR10V3P,ENSG00000254743.1,0,0.025,-0.035,1.78E-24
HNRNPCP8,ENSG00000254748.1,0.02,0.04,-0.028,3.54E-03
NAP1L1P1,ENSG00000254759.1,0.11,0.155,-0.057,5.34E-05
RP11-1H15.1,ENSG00000254765.1,0.04,0.03,0.014,4.60E-01
RP11-320L11.2,ENSG00000254783.1,0.5,1.005,-0.419,5.43E-09
SYS1-DBNDD2,ENSG00000254806.5,1.685,1.39,0.168,2.12E-02
RP11-672A2.4,ENSG00000254810.1,0.16,0.22,-0.073,6.91E-01
RP11-661A12.12,ENSG00000254812.1,0.1,0.145,-0.058,5.65E-01
RP11-496I9.1,ENSG00000254815.5,4.63,1.155,1.386,1.00E-13
SLC22A18AS,ENSG00000254827.5,1.51,0.375,0.868,1.02E-17
RP11-7I15.3,ENSG00000254829.1,0.975,0,0.982,1.66E-11
OR4A40P,ENSG00000254832.1,0,0.29,-0.367,6.13E-71
RP11-50B3.2,ENSG00000254833.1,0.03,0.1,-0.095,1.86E-05
RNF185-AS1,ENSG00000254835.1,0,1.955,-1.563,7.76E-20
GVINP1,ENSG00000254838.5,0.08,0.17,-0.115,4.50E-07
RP11-890B15.2,ENSG00000254842.6,0.04,0.045,-0.007,9.89E-01
RP11-648O15.1,ENSG00000254843.1,0.01,0.03,-0.028,1.27E-03
RP11-728F11.3,ENSG00000254844.4,0,0.155,-0.208,6.81E-53
RP11-51B23.3,ENSG00000254847.1,0.11,0.88,-0.76,2.11E-42
RP11-109L13.1,ENSG00000254851.1,0.135,0,0.183,8.70E-06
NPIPA2,ENSG00000254852.8,0.59,3.035,-1.344,1.10E-37
RP11-867G23.1,ENSG00000254855.1,0.16,9.795,-3.218,1.80E-173
MPV17L2,ENSG00000254858.9,15.645,9.34,0.687,2.31E-18
RP11-661A12.5,ENSG00000254859.1,0.785,0.61,0.149,1.03E-01
TMEM9B-AS1,ENSG00000254860.5,1.72,4.46,-1.005,1.41E-21
RP11-159H22.2,ENSG00000254862.5,0.08,0.33,-0.3,8.01E-22
RP11-1167A19.6,ENSG00000254867.1,0,0.095,-0.131,3.64E-21
RP13-870H17.3,ENSG00000254872.3,0.08,0.065,0.02,1.18E-01
RP11-770J1.5,ENSG00000254873.1,5.11,12.05,-1.095,9.14E-27
RP11-23J9.5,ENSG00000254876.5,0.43,1.685,-0.909,1.90E-42
PTPRJ-AS1,ENSG00000254879.1,0.07,0,0.098,5.70E-09
PKNOX2-AS1,ENSG00000254880.1,0,0.03,-0.042,2.00E-02
PRR13P2,ENSG00000254884.1,0.12,0,0.164,2.79E-06
NAV2-AS1,ENSG00000254894.1,1.03,0.872,0.117,7.94E-02
RP11-513D5.2,ENSG00000254898.1,0,0.145,-0.195,5.97E-31
RP11-152H18.4,ENSG00000254900.1,0.04,0,0.057,5.92E-04
MEF2BNB,ENSG00000254901.7,22.441,14.575,0.59,1.26E-12
RP11-712L6.7,ENSG00000254905.1,0.01,0,0.014,4.93E-01
RP11-484D2.2,ENSG00000254907.1,0.04,0.14,-0.132,3.27E-15
RP11-110I1.5,ENSG00000254909.1,0.715,5.62,-1.949,5.62E-52
RP11-326C3.7,ENSG00000254910.1,1.53,8.338,-1.884,7.05E-65
SCARNA9,ENSG00000254911.3,1.63,4.105,-0.957,2.12E-15
RP11-632K20.2,ENSG00000254912.2,0.07,0.965,-0.877,2.60E-109
RP11-1236K1.8,ENSG00000254923.1,0,0.04,-0.057,2.86E-14
RP11-684B2.3,ENSG00000254924.2,0,0.34,-0.422,6.91E-16
RP11-702H23.6,ENSG00000254928.1,0,0.41,-0.496,1.38E-02
RP11-144G6.12,ENSG00000254929.6,0.775,2.54,-0.996,2.16E-32
RP11-687M24.8,ENSG00000254932.2,0,0.11,-0.151,3.39E-43
RP11-619A14.2,ENSG00000254933.1,0.05,0.1,-0.067,7.11E-01
RP11-677M14.5,ENSG00000254941.1,0.635,2.805,-1.219,3.16E-31
OR7E158P,ENSG00000254948.1,0.05,0,0.07,3.87E-05
RP11-494M8.4,ENSG00000254951.7,0.02,0,0.029,4.23E-02
INMT-FAM188B,ENSG00000254959.6,0.085,0.19,-0.133,1.36E-01
RP11-1081L13.4,ENSG00000254966.1,0.3,3.65,-1.839,1.21E-124
RP11-680F20.6,ENSG00000254967.6,0,0.185,-0.245,1.33E-20
RP11-65M17.3,ENSG00000254968.6,0.16,0,0.214,2.59E-09
RP11-429J17.7,ENSG00000254973.1,0.41,0,0.496,4.43E-28
RP11-702H23.2,ENSG00000254974.1,0.21,0.41,-0.221,7.75E-03
RP11-872D17.8,ENSG00000254979.5,0.47,0.365,0.107,2.44E-02
RP11-350N15.3,ENSG00000254981.1,0.12,0.265,-0.176,6.86E-03
RSF1-IT2,ENSG00000254985.1,0.04,0.105,-0.087,3.88E-05
STX16-NPEPL1,ENSG00000254995.4,0.945,9.155,-2.384,1.89E-68
KRTAP5-9,ENSG00000254997.3,0.21,0.105,0.131,2.18E-05
RP11-326C3.2,ENSG00000255026.1,15.895,0.69,3.321,5.67E-27
RP11-680F20.9,ENSG00000255027.2,0.05,0,0.07,9.93E-02
RP11-802E16.3,ENSG00000255031.5,5.83,7.245,-0.272,1.29E-01
RP11-23J9.4,ENSG00000255036.5,0.34,2.165,-1.24,8.20E-77
RP11-1167A19.2,ENSG00000255038.1,0.415,0.18,0.262,2.30E-08
RP11-677M14.2,ENSG00000255045.1,0.26,0,0.333,5.87E-10
